Left,Right,Up,Down,Left,Right,Up,Down
414,413,420,400,25.13,25.07,25.5,24.28
424,416,428,389,25.58,25.1,25.82,23.47
462,507,478,465,24.16,26.51,25,24.32
408,355,366,370,27.21,23.68,24.41,24.68
348,363,409,341,23.81,24.84,27.99,23.34
221,218,190,212,26.27,25.92,22.59,25.2
412,440,414,424,24.37,26.03,24.49,25.08
475,479,427,495,25.31,25.53,22.76,26.38
241,236,218,253,25.42,24.89,22.99,26.68
460,465,467,429,25.26,25.53,25.64,23.55
195,210,201,228,23.38,25.17,24.1,27.33
255,261,223,259,25.55,26.15,22.34,25.95
206,213,177,213,25.46,26.32,21.87,26.32
474,442,461,447,25.98,24.23,25.27,24.5
362,354,329,378,25.43,24.87,23.12,26.56
450,442,450,434,25.33,24.88,25.33,24.43
241,225,252,239,25.18,23.51,26.33,24.97
465,452,427,432,26.18,25.45,24.04,24.32
496,456,471,446,26.53,24.39,25.2,23.86
228,257,238,238,23.72,26.74,24.76,24.76
470,476,492,474,24.58,24.89,25.73,24.79
253,229,235,245,26.29,23.8,24.42,25.46
423,412,385,397,26.15,25.47,23.8,24.55
389,418,388,385,24.62,26.45,24.55,24.36
372,332,391,341,25.9,23.11,27.22,23.74
246,254,239,219,25.67,26.51,24.94,22.86
119,125,137,127,23.42,24.6,26.96,25
490,482,462,457,25.91,25.48,24.43,24.16
118,127,110,126,24.53,26.4,22.86,26.19
239,247,244,230,24.89,25.72,25.41,23.95
409,403,407,405,25.18,24.81,25.06,24.93
326,304,337,341,24.92,23.24,25.76,26.07
230,230,217,252,24.75,24.75,23.35,27.12
470,503,483,465,24.46,26.18,25.14,24.2
380,433,404,437,22.97,26.17,24.42,26.42
457,463,487,427,24.91,25.24,26.55,23.28
363,436,416,416,22.25,26.73,25.5,25.5
202,161,183,169,28.25,22.51,25.59,23.63
489,454,422,460,26.79,24.87,23.12,25.2
366,386,420,381,23.56,24.85,27.04,24.53
472,474,456,466,25.26,25.37,24.41,24.94
337,359,340,386,23.69,25.24,23.9,27.14
222,226,233,204,25.08,25.53,26.32,23.05
267,251,229,241,27.02,25.4,23.17,24.39
196,183,207,170,25.92,24.2,27.38,22.48
223,255,249,233,23.22,26.56,25.93,24.27
237,265,245,229,24.28,27.15,25.1,23.46
431,405,415,439,25.5,23.96,24.55,25.97
369,363,353,362,25.5,25.08,24.39,25.01
694,701,660,735,24.87,25.12,23.65,26.34